period,region,issuer_group,bond_issuance,repayment,weighted_yield,benchmark_yield,remaining_maturity,turnover,implied_rating,credit_spread,net_financing
2024-06-01,Anonymized-City,C,62,50,3.82,2.35,2.4,0.22,AA-,1.4699999999999998,12
2024-07-01,Anonymized-City,C,58,72,3.95,2.38,2.3,0.2,AA-,1.5700000000000003,-14
2024-08-01,Anonymized-City,C,64,55,4.02,2.41,2.5,0.18,AA-,1.6099999999999994,9
2024-09-01,Anonymized-City,C,60,68,4.15,2.43,2.4,0.16,AA-,1.7200000000000002,-8
2024-06-01,Fujian,A,96,70,3.15,2.35,3.2,0.42,AA+,0.7999999999999998,26
2024-07-01,Fujian,A,88,92,3.28,2.38,3.1,0.39,AA+,0.8999999999999999,-4
2024-08-01,Fujian,A,110,84,3.34,2.41,3.4,0.36,AA+,0.9299999999999997,26
2024-09-01,Fujian,A,104,88,3.41,2.43,3.3,0.35,AA+,0.98,16
2024-06-01,Hefei,B,75,60,3.42,2.35,2.8,0.31,AA,1.0699999999999998,15
2024-07-01,Hefei,B,70,78,3.58,2.38,2.7,0.28,AA,1.2000000000000002,-8
2024-08-01,Hefei,B,82,68,3.63,2.41,2.9,0.25,AA,1.2199999999999998,14
2024-09-01,Hefei,B,80,74,3.71,2.43,2.8,0.24,AA,1.2799999999999998,6
