period,region,fiscal_revenue,fiscal_expenditure,land_transfer_revenue,gdp_growth,debt_pressure_proxy,fiscal_self_sufficiency,land_revenue_share,fiscal_revenue_growth
2024-06-01,Anonymized-City,360,465,96,0.034,0.61,0.7741935483870968,0.26666666666666666,0.0
2024-07-01,Anonymized-City,365,470,90,0.033,0.63,0.776595744680851,0.2465753424657534,0.01388888888888884
2024-08-01,Anonymized-City,371,478,82,0.032,0.65,0.7761506276150628,0.2210242587601078,0.016438356164383494
2024-09-01,Anonymized-City,374,486,78,0.032,0.67,0.7695473251028807,0.20855614973262032,0.008086253369272267
2024-06-01,Fujian,520,610,180,0.045,0.42,0.8524590163934426,0.34615384615384615,0.0
2024-07-01,Fujian,525,615,165,0.044,0.43,0.8536585365853658,0.3142857142857143,0.009615384615384581
2024-08-01,Fujian,531,620,152,0.043,0.45,0.8564516129032258,0.2862523540489642,0.011428571428571344
2024-09-01,Fujian,536,628,148,0.043,0.46,0.8535031847133758,0.27611940298507465,0.009416195856873921
2024-06-01,Hefei,410,500,140,0.039,0.51,0.82,0.34146341463414637,0.0
2024-07-01,Hefei,418,506,128,0.038,0.53,0.8260869565217391,0.3062200956937799,0.019512195121951237
2024-08-01,Hefei,423,512,120,0.037,0.55,0.826171875,0.28368794326241137,0.011961722488038173
2024-09-01,Hefei,427,520,118,0.037,0.56,0.8211538461538461,0.27634660421545665,0.009456264775413725
