period,region,fiscal_revenue,fiscal_expenditure,land_transfer_revenue,gdp_growth,debt_pressure_proxy,fiscal_self_sufficiency,land_revenue_share,fiscal_revenue_growth,issuer_group,bond_issuance,repayment,weighted_yield,benchmark_yield,remaining_maturity,turnover,implied_rating,credit_spread,net_financing
2024-06-01,Anonymized-City,360,465,96,0.034,0.61,0.7741935483870968,0.2666666666666666,0.0,C,62,50,3.82,2.35,2.4,0.22,AA-,1.4699999999999998,12
2024-07-01,Anonymized-City,365,470,90,0.033,0.63,0.776595744680851,0.2465753424657534,0.0138888888888888,C,58,72,3.95,2.38,2.3,0.2,AA-,1.5700000000000005,-14
2024-08-01,Anonymized-City,371,478,82,0.032,0.65,0.7761506276150628,0.2210242587601078,0.0164383561643834,C,64,55,4.02,2.41,2.5,0.18,AA-,1.6099999999999994,9
2024-09-01,Anonymized-City,374,486,78,0.032,0.67,0.7695473251028807,0.2085561497326203,0.0080862533692722,C,60,68,4.15,2.43,2.4,0.16,AA-,1.7200000000000002,-8
2024-06-01,Fujian,520,610,180,0.045,0.42,0.8524590163934426,0.3461538461538461,0.0,A,96,70,3.15,2.35,3.2,0.42,AA+,0.7999999999999998,26
2024-07-01,Fujian,525,615,165,0.044,0.43,0.8536585365853658,0.3142857142857143,0.0096153846153845,A,88,92,3.28,2.38,3.1,0.39,AA+,0.8999999999999999,-4
2024-08-01,Fujian,531,620,152,0.043,0.45,0.8564516129032258,0.2862523540489642,0.0114285714285713,A,110,84,3.34,2.41,3.4,0.36,AA+,0.9299999999999996,26
2024-09-01,Fujian,536,628,148,0.043,0.46,0.8535031847133758,0.2761194029850746,0.0094161958568739,A,104,88,3.41,2.43,3.3,0.35,AA+,0.98,16
2024-06-01,Hefei,410,500,140,0.039,0.51,0.82,0.3414634146341463,0.0,B,75,60,3.42,2.35,2.8,0.31,AA,1.0699999999999998,15
2024-07-01,Hefei,418,506,128,0.038,0.53,0.8260869565217391,0.3062200956937799,0.0195121951219512,B,70,78,3.58,2.38,2.7,0.28,AA,1.2000000000000002,-8
2024-08-01,Hefei,423,512,120,0.037,0.55,0.826171875,0.2836879432624113,0.0119617224880381,B,82,68,3.63,2.41,2.9,0.25,AA,1.2199999999999998,14
2024-09-01,Hefei,427,520,118,0.037,0.56,0.8211538461538461,0.2763466042154566,0.0094562647754137,B,80,74,3.71,2.43,2.8,0.24,AA,1.2799999999999998,6
